m/z,intensity
2561.148500,4.05300000e+03
2561.155400,4.89000000e+02
2561.160700,8.30000000e+02
2561.164000,8.43000000e+02
2561.193700,6.28000000e+02
2561.232200,1.07900000e+03
2561.282300,1.35800000e+03
2561.282700,1.35000000e+03
2561.294400,8.72000000e+02
2561.296300,1.73100000e+03
2561.296500,6.17000000e+02
2561.310700,8.80000000e+02
2561.312600,1.73100000e+03
2561.329200,2.13900000e+03
2561.333000,1.63800000e+03
2561.342900,2.79800000e+03
2561.345600,4.27000000e+02
2561.347300,5.85000000e+02
2561.348400,8.39000000e+02
2561.349200,1.37600000e+03
2561.354900,2.17100000e+03
2561.363100,9.22000000e+02
2561.363700,1.48400000e+03
2561.381000,2.57500000e+03
2561.389700,9.48000000e+02
2561.398400,7.60000000e+02
2561.400300,3.67800000e+03
2561.402100,4.44000000e+02
2561.411500,8.57000000e+02
2561.415700,8.05000000e+02
2561.417400,1.46700000e+03
2561.497500,9.91000000e+02
2561.519800,1.84200000e+03
2561.568700,6.53000000e+02
2561.569100,6.40000000e+02
2561.574300,1.60200000e+03
2561.581400,2.30000000e+03
2561.584900,1.11200000e+03
2561.590000,2.07100000e+03
2561.590600,1.37800000e+03
2561.590900,1.12500000e+03
2561.592100,1.30300000e+03
2561.592400,1.04200000e+03
2561.603900,1.52300000e+03
2561.604100,1.16700000e+03
2561.606500,1.16000000e+03
2561.608700,1.05900000e+03
2561.611000,1.09900000e+03
2561.617600,7.06000000e+02
2561.621700,2.05400000e+03
2561.622500,2.57400000e+03
2561.623700,2.10900000e+03
2561.624900,1.04600000e+03
2561.625700,6.08000000e+02
2561.627300,2.48800000e+03
2561.638300,3.83400000e+03
2561.639500,2.26900000e+03
2561.642600,1.10100000e+03
2561.642700,1.18300000e+03
2561.644800,1.14200000e+03
2561.660600,1.06800000e+03
2561.661000,2.27800000e+03
2561.661800,9.50000000e+02
2561.671500,2.00700000e+03
2561.673500,1.23700000e+03
2561.673900,1.95500000e+03
2561.682000,4.46000000e+02
2561.686100,1.76300000e+03
2561.688100,2.32600000e+03
2561.694900,1.74400000e+03
2561.701400,9.71000000e+02
2561.703600,8.86000000e+02
2561.705900,5.98000000e+02
2561.710900,6.65000000e+02
2561.711500,8.77000000e+02
2561.717800,1.35300000e+03
2561.720100,1.05800000e+03
2561.724800,8.46000000e+02
2561.761900,2.24900000e+03
2561.845800,1.00600000e+03
2561.846900,8.26000000e+02
2561.861500,1.58800000e+03
2561.863100,1.46800000e+03
2561.867500,1.12300000e+03
2561.880000,7.66000000e+02
2561.881900,1.22200000e+03
2561.893400,1.13600000e+03
2561.904700,9.13000000e+02
2561.906700,1.18700000e+03
2561.906800,7.81000000e+02
2561.909600,1.58500000e+03
2561.922200,1.29800000e+03
2561.947900,1.64700000e+03
2561.950800,1.67700000e+03
2561.962900,3.23800000e+03
2562.072400,2.55000000e+03
2562.133100,1.76500000e+03
2562.149900,2.50100000e+03
2562.161500,1.06800000e+03
2562.161900,1.02200000e+03
2562.173400,2.50800000e+03
2562.176200,1.48500000e+03
2562.188500,1.32600000e+03
2562.191400,2.16800000e+03
2562.193700,1.12500000e+03
2562.239500,2.59000000e+03
2562.244400,1.28900000e+03
2562.446600,1.19700000e+03
2562.452000,1.11700000e+03
2562.536500,1.95100000e+03
2562.726300,4.27000000e+02
